,일시,총발전량(kWh),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),합계 일사량(w/m2)
313,2018-05-10,6089,7.8,18.5,0.0,2.0,85.4,14.0,25.59,0.0,7108.333333333333
314,2018-05-11,4097,9.9,21.5,0.0,1.5,72.3,14.0,20.31,0.0,5641.666666666667
315,2018-05-12,447,11.3,16.5,54.1,3.1,93.9,14.0,1.81,0.0,502.77777777777777
316,2018-05-13,3948,11.1,18.5,0.0,1.8,90.6,14.1,15.71,0.0,4363.888888888889
317,2018-05-14,5750,10.6,23.7,0.0,1.8,80.3,14.1,23.48,0.0,6522.222222222223
318,2018-05-15,5059,13.1,27.1,0.0,1.4,72.6,14.1,18.87,0.0,5241.666666666667
319,2018-05-16,1036,19.9,24.6,4.1,4.2,94.1,14.2,1.82,0.0,505.55555555555554
320,2018-05-17,1509,18.1,23.3,27.3,3.0,97.4,14.2,4.39,0.0,1219.4444444444443
321,2018-05-18,1345,14.4,18.2,2.0,2.6,95.4,14.2,5.96,0.0,1655.5555555555557
322,2018-05-19,7345,11.9,23.5,0.0,2.9,62.0,14.2,30.11,0.0,8363.888888888889
323,2018-05-20,4242,12.4,22.2,0.0,2.7,41.8,14.3,18.15,0.0,5041.666666666667
324,2018-05-21,6397,12.5,22.1,0.0,2.0,60.0,14.3,24.7,0.0,6861.111111111111
325,2018-05-22,3117,13.0,22.6,13.1,1.1,83.8,14.3,10.63,0.0,2952.777777777778
326,2018-05-23,7760,10.4,21.1,6.6,2.4,70.0,14.3,30.73,0.0,8536.111111111111
327,2018-05-24,4154,9.1,23.0,0.0,2.6,62.9,14.3,28.86,0.0,8016.666666666667
328,2018-05-25,2688,9.6,24.3,0.0,1.3,57.4,14.4,24.6,0.0,6833.333333333333
329,2018-05-26,3126,12.1,27.9,0.0,1.6,58.5,14.4,29.61,0.0,8225.0
330,2018-05-27,1503,13.6,22.5,0.0,0.9,66.1,14.4,10.84,0.0,3011.1111111111113
331,2018-05-28,3017,11.7,28.5,0.0,1.7,60.1,14.4,28.92,0.0,8033.333333333333
332,2018-05-29,1777,17.9,25.1,0.9,1.8,79.5,14.5,18.83,0.0,5230.555555555556
333,2018-05-30,2368,14.4,25.0,0.0,1.9,84.9,14.5,23.04,0.0,6400.0
334,2018-05-31,3234,11.9,24.9,0.0,1.5,72.9,14.5,29.62,0.0,8227.777777777777
335,2018-06-01,3236,14.2,29.7,0.0,1.4,62.3,14.5,30.16,0.0,8377.777777777777
336,2018-06-02,3262,13.2,30.1,0.0,1.3,56.9,14.5,29.77,0.0,8269.444444444445
337,2018-06-03,3103,14.2,30.5,0.0,1.4,52.3,14.5,27.11,0.0,7530.555555555556
338,2018-06-04,2303,15.5,25.9,0.0,1.8,74.9,14.6,20.54,0.0,5705.555555555556
339,2018-06-05,1433,16.9,28.1,0.0,1.4,63.4,14.6,29.04,0.0,8066.666666666667
340,2018-06-06,0,17.0,26.3,0.0,1.4,84.4,14.6,22.17,0.0,6158.333333333333
341,2018-06-07,0,17.1,27.9,0.0,1.6,83.4,14.6,21.8,0.0,6055.555555555556
342,2018-06-08,0,17.2,25.0,0.0,1.4,80.6,14.6,14.2,0.0,3944.4444444444443
343,2018-06-09,0,16.2,28.0,12.2,1.6,83.5,14.6,15.26,0.0,4238.888888888889
344,2018-06-10,0,16.9,25.7,2.8,1.8,73.3,14.6,13.56,0.0,3766.6666666666665
345,2018-06-11,0,17.4,23.4,0.0,1.8,77.1,14.6,11.75,0.0,3263.8888888888887
346,2018-06-12,0,16.7,25.6,0.0,1.6,76.5,14.6,23.33,0.0,6480.555555555556
347,2018-06-13,0,14.8,24.6,0.0,1.9,80.1,14.7,17.79,0.0,4941.666666666667
348,2018-06-14,0,18.3,26.4,2.7,1.5,81.6,14.7,14.92,0.0,4144.444444444444
349,2018-06-15,209,18.4,26.8,0.0,2.2,62.4,14.7,25.2,0.0,7000.0
350,2018-06-16,3476,16.0,28.2,0.0,1.6,65.4,14.7,29.32,0.0,8144.444444444444
351,2018-06-17,1368,15.3,26.9,0.0,1.3,76.8,14.7,19.57,0.0,5436.111111111111
352,2018-06-18,2031,17.4,29.3,0.0,1.4,71.1,14.7,26.72,0.0,7422.222222222223
353,2018-06-19,1280,16.8,23.0,0.0,1.3,86.1,14.7,10.9,0.0,3027.777777777778
354,2018-06-20,4366,18.3,28.2,0.0,1.6,79.8,14.7,27.0,0.0,7500.0
355,2018-06-21,4554,18.6,29.1,0.0,1.8,72.4,14.7,28.22,0.0,7838.888888888889
356,2018-06-22,4625,17.4,30.1,0.0,1.6,60.8,14.7,27.71,0.0,7697.222222222223
357,2018-06-23,4210,19.2,26.6,0.0,2.3,71.8,14.7,24.81,0.0,6891.666666666667
358,2018-06-24,4483,19.2,29.0,0.0,2.1,79.9,14.7,27.81,0.0,7725.0
359,2018-06-25,4549,18.7,32.4,0.0,1.0,68.0,14.7,19.67,0.0,5463.888888888889
360,2018-06-26,570,20.1,23.7,139.3,3.7,96.8,14.7,0.98,0.0,272.22222222222223
361,2018-06-27,5652,18.8,26.3,0.2,2.6,91.9,14.7,22.21,0.0,6169.444444444444
362,2018-06-28,1870,21.3,24.1,4.5,2.6,98.0,14.7,3.67,0.0,1019.4444444444445
363,2018-06-29,6332,20.0,26.8,0.4,1.9,90.5,14.7,18.2,0.0,5055.555555555556
364,2018-06-30,3809,19.6,28.4,0.2,1.1,86.3,14.7,13.54,0.0,3761.1111111111113
365,2018-07-01,330,20.3,23.5,97.2,2.1,97.6,14.6,1.64,0.0,455.55555555555554
366,2018-07-02,2529,20.3,28.2,39.0,2.2,93.3,14.6,13.63,0.0,3786.1111111111113
367,2018-07-03,5985,23.1,31.9,2.9,2.2,82.0,14.6,25.99,0.0,7219.444444444444
368,2018-07-04,7134,22.2,29.5,0.0,2.0,88.4,14.6,21.27,0.0,5908.333333333333
369,2018-07-05,5272,22.8,29.2,0.5,1.4,90.0,14.6,14.58,0.0,4050.0
370,2018-07-06,4559,22.2,27.6,0.0,2.7,70.3,14.6,15.58,0.0,4327.777777777777
371,2018-07-07,6559,19.8,28.9,0.0,2.4,64.9,14.6,27.05,0.0,7513.888888888889
372,2018-07-08,6801,18.3,27.4,0.0,1.7,69.4,14.6,19.73,0.0,5480.555555555556
373,2018-07-09,867,19.9,22.2,12.9,1.4,96.8,14.6,3.75,0.0,1041.6666666666667
374,2018-07-10,2044,21.2,28.1,0.1,1.6,87.8,14.5,10.54,0.0,2927.777777777778
375,2018-07-11,4902,24.3,31.1,0.3,1.7,86.9,14.5,18.95,0.0,5263.888888888889
376,2018-07-12,4894,23.8,29.3,0.0,1.9,90.5,14.5,14.73,0.0,4091.6666666666665
377,2018-07-13,5169,23.4,29.5,0.0,2.3,89.1,14.5,17.45,0.0,4847.222222222223
378,2018-07-14,6098,23.5,30.0,0.0,2.2,86.3,14.5,23.18,0.0,6438.888888888889
379,2018-07-15,7178,22.1,32.0,0.0,1.4,83.5,14.4,27.71,0.0,7697.222222222223
380,2018-07-16,7034,20.9,32.1,0.0,1.1,78.0,14.4,28.47,0.0,7908.333333333333
